,,Title,Datetime,Source,URL
newsriv,25,CORONAVIRUS: How Italian imported disease into Nigeria,2020-02-28T23:51:17.375+0000,Vanguard,https://www.vanguardngr.com/2020/02/coronavirus-how-italian-imported-disease-into-nigeria/
newsriv,26,Coronavirus patients taking remdesivir are 65% more likely to see their condition improve by day 11,2020-06-01T17:15:54.297+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8377141/Coronavirus-patients-taking-remdesivir-65-likely-condition-improve-day-11.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
newsriv,27,Boston-based startup donates software to healthcare facilities overwhelmed by COVID-19,2020-04-07T19:52:02.242+0000,getnews.info/,http://www.getnews.info/1020924/bostonbased-startup-donates-software-to-healthcare-facilities-overwhelmed-by-covid19.html
newsriv,28,'Very worrying trends' meant Singapore could not afford to wait any longer before making 'pre-emptive' move: Lawrence Wong,2020-04-03T10:35:58.515+0000,Channel News Asia (Singapore),https://www.channelnewsasia.com/news/singapore/covid19-worrying-trends-could-not-wait-preemptive-12606856?cid=cna_flip_070214
newsriv,29,Rochester Regional Health Deploys Datos for Remote Monitoring of Patients and Staff at Risk of Coronavirus,2020-03-31T20:51:03.531+0000,source,https://apnews.com/PR%2520Newswire/9a9c95a1afd1de537381048241ce9471
newsriv,30,Coronavirus Lockdown VI: How India's insurance-led private healthcare cripples its ability to fight COVID-19,2020-04-14T18:58:24.204+0000,businesstoday.in/,https://www.businesstoday.in/current/economy-politics/coronavirus-lockdown-india-health-insurance-private-healthcare-public-hospitals-covid19/story/401003.html
newsriv,31,Adaptive Biotechnologies and Microsoft expand partnership to decode COVID-19 immune response and provide open data access,2020-03-27T04:29:23.827+0000,thequill.in/,http://thequill.in/2020/03/27/adaptive-biotechnologies-and-microsoft-expand-partnership-to-decode-covid-19-immune-response-and-provide-open-data-access/
newsriv,32,Ethicists Race to Offer Rules For Deciding Who Lives and Who Dies,2020-03-29T20:31:32.646+0000,undark.org/,https://undark.org/2020/03/29/ethics-covid19-shortages-health-care/
newsriv,33,Notable People Giving Back During COVID-19 Pandemic,2020-04-09T18:25:16.988+0000,Home,https://www.webwire.com/ViewPressRel.asp?aId=257790
newsriv,34,Intel commits $50m in pandemic response technology,2020-04-08T10:47:06.416+0000,Siliconrepublic,https://www.siliconrepublic.com/companies/intel-donation-coronavirus-covid19-tech-relief
newsriv,35,Huawei helps fight coronavirus: diagnostics within 2 minutes with 98% success rate,2020-03-26T10:53:29.289+0000,Giz China,https://www.gizchina.com/2020/03/26/huawei-helps-fight-coronavirus-diagnostics-within-2-minutes-with-98-success-rate/
newsriv,36,SG startup Biofourmis deploys tech at frontline of COVID-19 battle,2020-03-15T23:46:08.500+0000,dealstreetasia.com/,https://www.dealstreetasia.com/stories/biofourmis-covid19-179838/
newsriv,37,COVID-19: What Those with Lung Disease Should Know,2020-03-26T13:56:53.514+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/covid-19-what-those-with-lung-disease-should-know-1029035716
newsriv,38,COVID19 Impacted Analysis on Intravesical Bacillus Calmette Market Innovative Strategy by 2025 | Merck | Japan BCG Laboratory | China National Biotec – 3,2020-06-05T07:39:13.842+0000,source,https://3wnews.org/uncategorised/1185420/covid19-impacted-analysis-on-intravesical-bacillus-calmette-market-innovative-strategy-by-2025-merck-japan-bcg-laboratory-china-national-biotec/
newsriv,39,"COVID19 Impacted Analysis on Bagged Vacuum Cleaner Market Innovative Strategy by 2025 | Dyson , Electrolux , Shark Ninja (Euro-Pro) , Miele , Bissell , Nilfisk , Philips , Bosch , SEB , TTI , Sanitaire , Rubbermaid , Panasonic , Numatic , Karcher , Midea , Haier , Goodway , Pacvac – 3",2020-06-05T16:35:17.988+0000,source,https://3wnews.org/market/1196145/covid19-impacted-analysis-on-bagged-vacuum-cleaner-market-innovative-strategy-by-2025-dyson-electrolux-shark-ninja-euro-pro-miele-bissell-nilfisk-philips-bosch-seb-tti/
newsriv,40,Digital Medical Officers (Volunteers) at MedicBird Health Services Limited - Nationwide,2020-04-07T18:49:29.519+0000,"Nigerian jobs, Career Portal for Nigerians, Naija Job Listing, Nigerianhotjobs, Hotnigerianjobs, Jobs in Nigeria, Vacancies in Nigeria",https://www.hotnigerianjobs.com/hotjobs/282010/digital-medical-officers-volunteers-at-medicbird-h.html
newsriv,41,Help Them If You Can—They’re Feeling Down,2020-05-10T15:34:34.581+0000,source,https://www.ehstoday.com/covid19/article/21128639/automakers-shifting-to-produce-ppe-during-covid19-tackle-safety-issues
newsriv,42,Intermountain Healthcare and U of Utah Health Researchers Launch COVID-19 Clinical Trials to Test Effectiveness of Treatment,2020-04-09T15:32:39.546+0000,releasewire.com/,http://www.releasewire.com/press-releases/intermountain-healthcare-and-u-of-utah-health-researchers-launch-covid-19-clinical-trials-to-test-effectiveness-of-treatment-1286634.htm
newsriv,43,"UPMC led global trial fast tracks testing of hydroxychloroquine, other COVID-19 therapies",2020-04-09T19:45:43.908+0000,bioengineer.org/,https://bioengineer.org/upmc-led-global-trial-fast-tracks-testing-of-hydroxychloroquine-other-covid-19-therapies/
newsriv,44,"COVID19 Impacted Analysis on Dental Fitting Market Innovative Strategy by 2025 | Danaher , Dentsply Sirona , Institut Straumann , 3M , ADIN Dental Implant Systems , Align Technology , BioHorizons , OSSTEM IMPLANT , Southern Implants - 3",2020-05-26T11:00:51.310+0000,source,https://3wnews.org/uncategorised/1001133/covid19-impacted-analysis-on-dental-fitting-market-innovative-strategy-by-2025-danaher-dentsply-sirona-institut-straumann-3m-adin-dental-implant-systems-align-technology-biohorizons-os/
newsriv,45,"UPMC led global trial fast tracks testing of hydroxychloroquine, other COVID-19 therapies",2020-04-09T18:54:40.205+0000,scienmag.com/,https://scienmag.com/upmc-led-global-trial-fast-tracks-testing-of-hydroxychloroquine-other-covid-19-therapies/
newsriv,46,Covid 19 coronavirus: Lockdown or lockdown lite? Jacinda Ardern's D-Day dilemma explained,2020-04-19T21:45:18.349+0000,New Zealand Herald,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12325951
newsriv,47,Information is Power: First Databank Arms Healthcare Professionals and Consumers with COVID-19 Resources They Can Trust,2020-04-09T11:37:19.459+0000,biotech-365.com/,https://biotech-365.com/information-is-power-first-databank-arms-healthcare-professionals-and-consumers-with-covid-19-resources-they-can-trust/
newsriv,48,Op-Ed: How California's smog alert system could be adapted to fight the coronavirus,2020-04-19T15:31:06.182+0000,Tribune Company,https://www.latimes.com/opinion/story/2020-04-19/smog-alerts-virus-covid
newsriv,49,Covid 19 coronavirus: Why epidemiologists and economists keep arguing,2020-04-03T22:31:11.265+0000,New Zealand Herald,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12322454
newsriv,50,"AGS reiterates urgent COVID-19 call for medical supplies, telehealth",2020-04-18T12:26:43.240+0000,scienmag.com/,https://scienmag.com/ags-reiterates-urgent-covid-19-call-for-medical-supplies-telehealth/
newsriv,51,"AGS reiterates urgent COVID-19 call for medical supplies, telehealth",2020-04-18T17:43:33.124+0000,bioengineer.org/,https://bioengineer.org/ags-reiterates-urgent-covid-19-call-for-medical-supplies-telehealth/
newsriv,52,Experts Race to Offer Rules For Deciding Who Lives and Who Dies,2020-04-01T05:13:25.325+0000,source,https://undarkstage.wpengine.com/2020/03/29/ethics-covid19-shortages-health-care/
newsriv,53,Swedish hospitals stop prescribing chloroquine for coronavirus patients after adverse side effects,2020-04-08T11:34:33.872+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8199477/Swedish-hospitals-stop-prescribing-chloroquine-coronavirus-patients-adverse-effects.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
newsriv,54,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T22:17:45.766+0000,Stars and Stripes,https://www.stripes.com/news/us/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages-1.623459
newsriv,55,Medical Sector Reaps the Benefits of Innovative Wearable Devices,2020-06-04T13:51:02.866+0000,PR Newswire,https://www.prnewswire.com/news-releases/medical-sector-reaps-the-benefits-of-innovative-wearable-devices-301070548.html
newsriv,56,"1,170 cases now linked to inquiry into Shropshire maternity care",2020-04-21T14:29:28.470+0000,Shropshire Star,https://www.shropshirestar.com/news/health/coronavirus-covid19/2020/04/21/1170-cases-now-linked-to-inquiry-into-shropshire-maternity-care/
newsriv,57,Swedish hospitals stop prescribing chloroquine for coronavirus patients after adverse side effects,2020-04-08T10:49:02.607+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8199477/Swedish-hospitals-stop-prescribing-chloroquine-coronavirus-patients-adverse-effects.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,58,Coronavirus: What's happening in Canada and around the world Tuesday,2020-03-31T20:00:13.453+0000,Canadian Broadcasting Corporation,https://www.cbc.ca/news/canada/coronavirus-covid19-march31-canada-world-1.5514497
newsriv,59,Coronavirus Analysis: Will Social Distancing Help Prevent the Spread?,2020-03-24T07:49:23.266+0000,analyticsvidhya.com/,https://www.analyticsvidhya.com/blog/2020/03/coronavirus-analysis-will-social-distancing-help-prevent-the-spread/
newsriv,60,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T20:50:19.729+0000,source,https://chicago.suntimes.com/coronavirus/2020/3/23/21191588/malaria-drugs-coronavirus-covid-19-testing
newsriv,61,The U.S. needs to manufacture more CPAP machines - STAT,2020-05-01T11:10:50.521+0000,statnews.com/,https://www.statnews.com/2020/05/01/building-cpap-machines-us-supply-chain/
newsriv,62,Advantage Dental from DentaQuest Launches 24-Hour Dental Consultation Hotline for Residents of Oregon,2020-04-10T07:47:49.696+0000,Business Wire,https://www.businesswire.com/news/home/20200409005723/en/Advantage-Dental-DentaQuest-Launches-24-Hour-Dental-Consultation
newsriv,63,FNB confirms measures to help customers impacted by COVID-19,2020-03-30T14:12:55.814+0000,Cape Business News,https://www.cbn.co.za/featured/fnb-confirms-measures-to-help-customers-impacted-by-covid-19/
newsriv,64,What do we know about hydroxychloroquine?,2020-05-19T12:28:37.949+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8335027/What-know-hydroxychloroquine.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
newsriv,65,The Mental Health Ramifications We Expected for Doctors Are Here Now,2020-05-01T18:18:01.159+0000,source,https://slate.com/technology/2020/05/mental-health-care-doctors.html?via=rss
newsriv,66,Small study of patients with severe COVID-19 treated with the arthritis drug anakinra finds clinical improvements,2020-05-08T07:55:25.613+0000,medicalxpress.com/,https://medicalxpress.com/news/2020-05-small-patients-severe-covid-arthritis.html
newsriv,67,P&G Joins Forces with the Red Cross and Red Crescent Network to Provide Emergency Relief and Serve European Communities During COVID-19 Pandemic,2020-03-27T15:38:28.603+0000,biotech-365.com/,https://biotech-365.com/pg-joins-forces-with-the-red-cross-and-red-crescent-network-to-provide-emergency-relief-and-serve-european-communities-during-covid-19-pandemic/
newsriv,68,IITs: A unique education system model of India that stood the test of time,2020-05-19T09:23:34.976+0000,The Financial Express,https://www.financialexpress.com/jobs/iits-a-unique-education-system-model-of-india-that-stood-the-test-of-time/1963836/
newsriv,69,"COVID19 Impacted Analysis on Medical X-ray Film Market Innovative Strategy by 2025 | Fujifilm , Konica minolta , AGFA , Carestream Health , Codonics , SONY , Colenta , FOMA BOHEMIA Ltd , Luckyfilm , Tianjin Media , Shanghai Bai Yun San He , Shenbei , Fumingwei , Shuoying Medical , Kanghua Medical , Songni Medical - 3",2020-06-01T17:42:55.092+0000,source,https://3wnews.org/uncategorised/1121318/covid19-impacted-analysis-on-medical-x-ray-film-market-innovative-strategy-by-2025-fujifilm-konica-minolta-agfa-carestream-health-codonics-sony-colenta-foma-bohemia-ltd-luckyfilm-t/
newsriv,70,Why Trump is at odds with his medical experts over Covid-19 drugs - STAT,2020-03-22T21:26:59.668+0000,statnews.com/,https://www.statnews.com/2020/03/22/why-trump-at-odds-with-medical-experts-over-malaria-drugs-against-covid-19/
newsriv,71,"Malaria drugs' promise for coronavirus spurs hope, shortages",2020-03-23T21:15:17.480+0000,Daily Herald,https://www.dailyherald.com/article/20200323/news/303239932/
newsriv,72,What do we know about hydroxychloroquine?,2020-05-19T11:49:08.549+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8335027/What-know-hydroxychloroquine.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,73,When will social distancing,2020-04-02T07:43:26.501+0000,News.com.au,https://www.news.com.au/lifestyle/health/health-problems/coronavirus-australia-when-will-social-distancing-and-restrictions-end/news-story/1f7911ac6e6e0ce4f7dc16a560f4ac74
newsriv,74,Rescue package for temporary workers rolled out,2020-04-22T08:18:08.334+0000,Herald Sun,https://www.heraldsun.com.au/news/national/daily-blog-april-22-one-covid19-case-diagnosed-overnight/news-story/07b3c2b88a2c6ec40bc12960e71cc214
newsriv,75,"New IHME COVID-19 Forecasts Find Lower Hospital Bed Need, Epidemics starting to peak confirm social distancing works",2020-04-06T06:36:59.636+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/new-ihme-covid-19-forecasts-find-lower-hospital-bed-need-epidemics-starting-to-peak-confirm-social-distancing-works-1029066483
newsriv,76,Daily COVID-19 Updates: April 3,2020-04-06T04:59:46.557+0000,source,https://www.industryweek.com/operations/article/21127990/as-they-help-with-the-pandemic-relief-effort-automakers-tackle-their-own-covid19-issues
newsriv,77,Voice of the People,2020-04-13T21:30:42.361+0000,Pakistan Observer - Newspaper online edition,https://pakobserver.net/voice-of-the-people-186/
newsriv,78,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-24T10:39:26.515+0000,The Manila Times - Internet Edition,https://www.manilatimes.net/2020/03/24/news/latest-stories/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/705776/
newsriv,79,BUSINESS WIRE: P&G Joins Forces with the Red Cross and Red Crescent Network to Provide Emergency Relief and Serve European Communities During COVID-19 Pandemic,2020-04-02T14:06:46.603+0000,Finanztreff,http://www.finanztreff.de/news/business-wire-pundg-joins-forces-with-the-red-cross-and-red-crescent-network-to-provide-em/19901523
newsriv,80,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T21:19:02.275+0000,Albuquerque Journal - ABQJournal,https://www.abqjournal.com/1435652/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages.html
newsriv,81,Daily COVID-19 Updates: April 3,2020-04-06T04:59:47.874+0000,source,https://www.industryweek.com/operations/safety/article/21127974/daily-covid19-updates-april-3
newsriv,82,Daily COVID-19 Updates: March 24,2020-04-06T23:28:11.972+0000,source,https://www.industryweek.com/operations/article/21127004/daily-covid19-updates-march-23
newsriv,83,UK regulators have blocked the use of antimalarials to treat coronavirus despite US doctors using it,2020-03-30T15:45:18.540+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8167241/UK-regulators-blocked-use-antimalarials-treat-coronavirus-despite-doctors-using-it.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
newsriv,84,UK regulators have blocked the use of antimalarials to treat coronavirus despite US doctors using it,2020-03-30T15:37:03.236+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8167241/UK-regulators-blocked-use-antimalarials-treat-coronavirus-despite-doctors-using-it.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,85,Blood clots leave clinicians with clues about Covid-19 — but no proven treatments,2020-04-16T09:26:18.110+0000,statnews.com/,https://www.statnews.com/2020/04/16/blood-clots-coronavirus-tpa/
newsriv,86,Two more hospital workers test positive for COVID-19,2020-04-22T11:09:34.774+0000,Mercury,https://www.themercury.com.au/news/coronavirus/daily-blog-april-22-one-covid19-case-diagnosed-overnight/news-story/07b3c2b88a2c6ec40bc12960e71cc214
newsriv,87,British coronavirus patients CAN get promising blood therapy,2020-03-26T18:42:02.907+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8154917/British-coronavirus-patients-promising-blood-therapy.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,88,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T21:16:30.117+0000,TwinCities.com,https://www.twincities.com/2020/03/23/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/
newsriv,89,China and Covid-19: Preparing for a ‘Post-WWI World’,2020-06-12T12:25:34.477+0000,Asia Sentinel - Home,https://www.asiasentinel.com/p/china-and-covid-19-preparing-for
newsriv,90,Pressure on UK to use blood treatment for coronavirus,2020-03-25T12:16:58.554+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8150629/Pressure-UK-use-blood-treatment-coronavirus.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,91,"Malaria drugs' promise for coronavirus spurs hope, shortages",2020-03-23T21:06:43.019+0000,medicalxpress.com/,https://medicalxpress.com/news/2020-03-malaria-drugs-coronavirus-spurs-shortages.html
newsriv,92,"Malaria drugs' promise for coronavirus spurs hope, shortages",2020-03-23T20:46:25.412+0000,Star Tribune,http://www.startribune.com/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/569035892/
newsriv,93,Innovative Wearable Tech Gives Doctors a New Approach to Patient Care,2020-04-01T13:25:00.136+0000,financial.de,http://www.financial.de/rohstoffe/rohstoff-international/innovative-wearable-tech-gives-doctors-a-new-approach-to-patient-care/
newsriv,94,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T21:19:00.866+0000,Courier Electronic Edition,https://thecourier.com/national-news/2020/03/23/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/
newsriv,95,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T20:46:50.278+0000,WTOP 103.9 FM/103.5 FM/820 AM,https://wtop.com/national/2020/03/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/
newsriv,96,Covid 19 coronavirus: Comment - Trump's deadly search for a scapegoat,2020-04-16T02:58:28.767+0000,New Zealand Herald,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12325216
newsriv,97,"Malaria drugs’ promise for coronavirus spurs hope, shortages",2020-03-23T23:17:42.031+0000,Valley News,https://myvalleynews.com/malaria-drugs-promise-for-coronavirus-spurs-hope-shortages/
newsriv,98,Groundbreaking Designs Expand Remote Patient Monitoring Capabilities,2020-06-08T13:14:04.106+0000,"FinanzNachrichten.de - Alle Nachrichten zu Aktien, Börse und Wirtschaft!!",https://www.finanznachrichten.de/nachrichten-2020-06/49862779-groundbreaking-designs-expand-remote-patient-monitoring-capabilities-008.htm
newsriv,99,Coronavirus: What's happening in Canada and around the world Monday,2020-04-13T17:09:42.538+0000,Canadian Broadcasting Corporation,https://www.cbc.ca/news/canada/coronavirus-covid19-april13-canada-world-1.5530623
newsriv,100,The Healthcare Innovation Bubble: Making The Most Of The COVID 19 Crisis,2020-05-11T01:25:17.118+0000,Forbes Magazine,https://www.forbes.com/sites/sachinjain/2020/05/10/the-healthcare-innovation-bubble-making-the-most-of-the-covid-19-crisis/
newsriv,101,Ahead of the curve: South Korea's evolving strategy to prevent a COVID-19 resurgence,2020-04-15T08:26:50.491+0000,Channel News Asia (Singapore),https://www.channelnewsasia.com/news/asia/covid19-south-korea-evolving-strategy-prevent-resurgence-12643774?cid=cna_flip_070214
newsriv,102,"Fitness and Exercise Equipment Market with Coronavirus (Covid-19) Impact Analysis | Industry Business Outlook, Revenue, Trends and Forecasts 2024 | Impulse (Qingdao) Health Tech Co, True Fitness Technology, Kettler (GB) limited, Core Health and Fitness LLC, Nautilus, Brunswick, Johnson Health Tech – 3w Market News Reports",2020-05-18T10:57:04.830+0000,source,https://3wnews.org/uncategorised/880977/fitness-and-exercise-equipment-market-with-coronavirus-covid-19-impact-analysis-industry-business-outlook-revenue-trends-and-forecasts-2024-impulse-qingdao-health-tech-co-true-fitness-techn/
newsriv,103,Advantage Dental from DentaQuest Launches 24-Hour Dental Consultation Hotline for Residents of Oregon,2020-04-09T18:40:07.694+0000,source,https://www.marketscreener.com/news/Advantage-Dental-from-DentaQuest-Launches-24-Hour-Dental-Consultation-Hotline-for-Residents-of-Orego--30392948/
newsriv,104,"Fitness And Exercise Equipment Market with Coronavirus (Covid-19) Impact Analysis | Recent Industry Developments and Growth Strategies Adopted by Top Players Worldwide 2020-2024 | Impulse (Qingdao) Health Tech, True Fitness Technology, Kettler (GB) limited, Core Health and Fitness - Cole of Duty",2020-04-17T14:59:53.321+0000,source,https://coleofduty.com/news/2020/04/17/fitness-and-exercise-equipment-market-with-coronavirus-covid-19-impact-analysis-recent-industry-developments-and-growth-strategies-adopted-by-top-players-worldwide-2020-2024-impulse-qingdao-he/
newsriv,105,Coronavirus Blog Archive,2020-05-22T22:38:26.952+0000,KPBS 15,https://www.kpbs.org/news/2020/may/19/coronavirus-blog-archive/
newsriv,106,Advantage Dental from DentaQuest Launches 24-Hour Dental Consultation Hotline for Residents of Oregon,2020-04-09T18:40:00.034+0000,Yahoo! Finance,https://finance.yahoo.com/news/advantage-dental-dentaquest-launches-24-180600026.html
newsriv,107,Malaria drug no help for COVID-19: studies,2020-05-15T01:26:32.901+0000,Northern Territory News,https://www.ntnews.com.au/news/breaking-news/malaria-drug-no-help-for-covid19-studies/news-story/3d39ffc56e25195a366a819617c3bbcd
